flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
1520924,Contact Details,Name of the village headman/TNK/village nurse?,411311001,1749623934933,Basic Information,"Basic Information |
Name of the Village Head/WC/Village's Nurse",1749624452995,86.05,medium,text_similarity,1004
1520924,EPS Photos,Take Photo,1570928,,,,,55.56,none,none,
1520924,EPS Photos,Comment on Photo taken,1700923,,,,,50.0,none,none,
1520924,Location of the Village,Which Division-Province-Tikina are you in?,1530921,1749623934933,Basic Information,"Basic Information |
Which Division-Province-Tikina?",1749624452990,98.36,high,text_similarity,1002
1520924,Location of the Village,Date of Inspection,265140920,,,,,63.16,none,none,
1520924,Location of the Village,Do you have Water Committee,403570958,1749623934933,Basic Information,"Basic Information |
Do you have Water Committee and Is it active?",1749624452105,100.0,high,text_similarity,1014
1520924,Location of the Village,Is the Water Committee active?,425660973,,,,,73.33,none,none,
1520924,Location of the Village,Village Name,5510924,1749623934933,Basic Information,"Basic Information |
Village Name",1749624452991,100.0,high,text_similarity,1003
1520924,Location of the Village,Weather Condition,6520923,,,,,58.82,none,none,
1520924,Location of the Village,Name of the Tikina,6530922,1749623934933,Basic Information,"Basic Information |
Name of the Village Head/WC/Village's Nurse",1749624452995,81.25,low,text_similarity,1004
1520924,Location of the Village,Project Implementation date,9490925,1749623934933,Basic Information,"Basic Information |
Project Implementation date",1749632480584,100.0,high,text_similarity,1007
1520924,Location of the Village,Type of Water Source,9540923,,,,,51.28,none,none,
1520924,Water Quality Testing,Why the water sample could not be taken?,1029540992,,,,,51.43,none,none,
1520924,Water Quality Testing,Are you able to collect the water sample?,1040270974,,,,,53.33,none,none,
1520924,Water Quality Testing,Take Photo of Sampling Point,1820930,,,,,52.63,none,none,
1520924,Water Quality Testing,What is the E.Coli Count using CBT Bags?,297860920,,,,,57.58,none,none,
1520924,Water Quality Testing,The current status of this system?,360140967,,,,,50.0,none,none,
1520924,Water Quality Testing,Signature of Officer,480942,,,,,51.61,none,none,
1520924,Water Quality Testing,What is the Turbidity in NTU?,6520925,,,,,56.6,none,none,
1520924,Water Quality Testing,What is the Faecal Coliform count in 1cfu/100ml?,6530923,,,,,50.79,none,none,
1520924,Water Quality Testing,Level of Contamination for H2S kit?,6720921,,,,,50.0,none,none,
1520924,Water Quality Testing,Method of Water Testing Used?,680920,,,,,52.83,none,none,
1520924,Water Quality Testing,Description of Sampling Point,700922,,,,,52.63,none,none,
1520924,Water Quality Testing,General Remarks,7450925,,,,,50.0,none,none,
1520924,Water Quality Testing,What is the Total Coliform count in 1cfu/100ml?,9530924,,,,,48.39,none,none,
1520924,Contact Details,Phone contact of the Village Headman/TNK or village nurse?,425670981,1749623934933,Basic Information,"Basic Information |
Contact of the Village Head/WC/Village's Nurse",1749624452996,78.85,none,manual,1005
1520924,Location of the Village,Geolocation,2590929,1749623934933,Basic Information,"Basic Information |
GPS Location",1749624452992,78.26,none,manual,1006
