flow_form_id,flow_question_group,flow_question_label,flow_question_id,mis_form_id,mis_question_group,mis_question_label,mis_question_id,match_score,match_confidence,match_method,mis_question_order
535151018,Profile Information,In which division-province-tikina are you in?,469691022,1789351200000,Profile Information,"Profile Information |
In which division-province-tikina are you in?",469691022,100.0,high,identity,1001
535151018,Profile Information,Is this a village or settlement?,535141022,1789351200000,Profile Information,"Profile Information |
Is this a village or settlement?",535141022,100.0,high,identity,1002
535151018,Profile Information,Name of Village,469691020,1789351200000,Profile Information,"Profile Information |
Name of Village",469691020,100.0,high,identity,1003
535151018,Profile Information,Name of Settlement,469691019,1789351200000,Profile Information,"Profile Information |
Name of Settlement",469691019,100.0,high,identity,1004
535151018,Profile Information,GPS of the village/settlement?,535141023,1789351200000,Profile Information,"Profile Information |
GPS of the village/settlement?",535141023,100.0,high,identity,1005
535151018,Profile Information,Name of Contact Person,469691023,1789351200000,Profile Information,"Profile Information |
Name of Contact Person",469691023,100.0,high,identity,1006
535151018,Profile Information,Designation of the Contact Person,469691017,1789351200000,Profile Information,"Profile Information |
Designation of the Contact Person",469691017,100.0,high,identity,1007
535151018,Profile Information,Contact number of the Contact Person,469691021,1789351200000,Profile Information,"Profile Information |
Contact number of the Contact Person",469691021,100.0,high,identity,1008
535151018,Profile Information,Alternative Contact number of the Contact Person,535141024,1789351200000,Profile Information,"Profile Information |
Alternative Contact number of the Contact Person",535141024,100.0,high,identity,1009
535151018,Profile Information,What is the total population?,469691016,1789351200000,Profile Information,"Profile Information |
What is the total population?",469691016,100.0,high,identity,1010
535151018,Profile Information,Are you able to provide the breakdown of population?,469691018,1789351200000,Profile Information,"Profile Information |
Are you able to provide the breakdown of population?",469691018,100.0,high,identity,1011
535151018,Profile Information,What is the number of male population?,535141019,1789351200000,Profile Information,"Profile Information |
What is the number of male population?",535141019,100.0,high,identity,1012
535151018,Profile Information,What is the number of female population?,535141017,1789351200000,Profile Information,"Profile Information |
What is the number of female population?",535141017,100.0,high,identity,1013
535151018,Profile Information,How many children are under 5 years old?,469691025,1789351200000,Profile Information,"Profile Information |
How many children are under 5 years old?",469691025,100.0,high,identity,1014
535151018,Profile Information,How many male children are under 5 years old?,469691024,1789351200000,Profile Information,"Profile Information |
How many male children are under 5 years old?",469691024,100.0,high,identity,1015
535151018,Profile Information,How many female children are under 5 years old?,535141018,1789351200000,Profile Information,"Profile Information |
How many female children are under 5 years old?",535141018,100.0,high,identity,1016
535151018,Profile Information,How many households are included in this village/settlement?,535141021,1789351200000,Profile Information,"Profile Information |
How many households are included in this village/settlement?",535141021,100.0,high,identity,1017
535151018,Profile Information,Please mention the source/s from where the information has been provided by the contact person,535141020,1789351200000,Profile Information,"Profile Information |
Please mention the source/s from where the information has been provided by the contact person",535141020,100.0,high,identity,1018
535151018,Profile Information,What is the Date of Inspection?,538821077,1789351200000,Profile Information,"Profile Information |
What is the Date of Inspection?",538821077,100.0,high,identity,1019
535151018,Village Level Water Information,How many reservoirs are there in this village/settlement?,529311021,1789351200000,Village Level Water Information,"Village Level Water Information |
How many reservoirs are there in this village/settlement?",529311021,100.0,high,identity,2001
535151018,Village Level Water Information,How many storage tanks are there in this village/settlement?,529311016,1789351200000,Village Level Water Information,"Village Level Water Information |
How many storage tanks are there in this village/settlement?",529311016,100.0,high,identity,2002
535151018,Village Level Water Information,What is the total number of rainwater harvesting tanks in the village/settlement?,544470993,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of rainwater harvesting tanks in the village/settlement?",544470993,100.0,high,identity,2003
535151018,Village Level Water Information,Which of the following water supply systems are present in the village/settlement?,529311018,1789351200000,Village Level Water Information,"Village Level Water Information |
Which of the following water supply systems are present in the village/settlement?",529311018,100.0,high,identity,2004
535151018,Village Level Water Information,What is the total number of water points for WAF Urban Water Supply?,529311022,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of water points for WAF Urban Water Supply?",529311022,100.0,high,identity,2005
535151018,Village Level Water Information,What is the total number of water points for Rural Water Scheme?,529311013,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of water points for Rural Water Scheme?",529311013,100.0,high,identity,2006
535151018,Village Level Water Information,What is the total number of water points for MRD Borehole Scheme?,529311015,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of water points for MRD Borehole Scheme?",529311015,100.0,high,identity,2007
535151018,Village Level Water Information,What is the number of private water supply?,415601047,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the number of private water supply?",415601047,100.0,high,identity,2008
535151018,Village Level Water Information,What is the total number of public water points for rainwater harvesting systems?,541070973,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of public water points for rainwater harvesting systems?",541070973,100.0,high,identity,2009
535151018,Village Level Water Information,What is the total number of private water points for rainwater harvesting systems?,535470960,1789351200000,Village Level Water Information,"Village Level Water Information |
What is the total number of private water points for rainwater harvesting systems?",535470960,100.0,high,identity,2010
535151018,Village Level Water Information,Has there been a recent outbreak of water borne diseases in your village?,535151023,1789351200000,Village Level Water Information,"Village Level Water Information |
Has there been a recent outbreak of water borne diseases in your village?",535151023,100.0,high,identity,2011
535151018,Village Level Water Information,What was the water borne disease?,536671014,1789351200000,Village Level Water Information,"Village Level Water Information |
What was the water borne disease?",536671014,100.0,high,identity,2012
535151018,Water System Information & Water Quality Test,Is this a primary or secondary water system?,519610967,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is this a primary or secondary water system?",519610967,100.0,high,identity,3001
535151018,Water System Information & Water Quality Test,What is the nearest known landmark to this water system?,536671017,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
What is the nearest known landmark to this water system?",536671017,100.0,high,identity,3002
535151018,Water System Information & Water Quality Test,Take GPS location of the water system,415600933,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Take GPS location of the water system",415600933,100.0,high,identity,3003
535151018,Water System Information & Water Quality Test,What is the type of water supply for this water system?,535141034,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
What is the type of water supply for this water system?",535141034,100.0,high,identity,3004
535151018,Water System Information & Water Quality Test,What is the source for the rural water scheme?,546361121,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
What is the source for the rural water scheme?",546361121,100.0,high,identity,3005
535151018,Water System Information & Water Quality Test,What is the type of water system?,535151025,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
What is the type of water system?",535151025,100.0,high,identity,3006
535151018,Water System Information & Water Quality Test,Type of improved water system,535141029,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Type of improved water system",535141029,100.0,high,identity,3007
535151018,Water System Information & Water Quality Test,Type of unimproved water system,536671020,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Type of unimproved water system",536671020,100.0,high,identity,3008
535151018,Water System Information & Water Quality Test,Who is the provider of the piped water supply?,535151024,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Who is the provider of the piped water supply?",535151024,100.0,high,identity,3009
535151018,Water System Information & Water Quality Test,How many households use this water system?,536671019,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
How many households use this water system?",536671019,100.0,high,identity,3010
535151018,Water System Information & Water Quality Test,Is this water system shared with other institutions?,535151026,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is this water system shared with other institutions?",535151026,100.0,high,identity,3011
535151018,Water System Information & Water Quality Test,"Is the water system shared with any institution i.e. a school, healthcare centre, common place etc.? (Select all that apply)",536671022,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is the water system shared with any institution i.e. a school, healthcare centre, common place etc.? (Select all that apply)",536671022,100.0,high,identity,3012
535151018,Water System Information & Water Quality Test,Who is responsible for the maintenance of the water system? (Select all that apply),535141030,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Who is responsible for the maintenance of the water system? (Select all that apply)",535141030,100.0,high,identity,3013
535151018,Water System Information & Water Quality Test,Is the water supply from this system available 24/7 or are there interruptions in supply?,536671015,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is the water supply from this system available 24/7 or are there interruptions in supply?",536671015,100.0,high,identity,3014
535151018,Water System Information & Water Quality Test,Is there a tariff and levy collection for  this water system?,535151027,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is there a tariff and levy collection for  this water system?",535151027,100.0,high,identity,3015
535151018,Water System Information & Water Quality Test,How much tariff/levy is paid per month?,536671023,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
How much tariff/levy is paid per month?",536671023,100.0,high,identity,3016
535151018,Water System Information & Water Quality Test,Can you measure the flow/discharge rate from this water system?,536671016,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Can you measure the flow/discharge rate from this water system?",536671016,100.0,high,identity,3017
535151018,Water System Information & Water Quality Test,What is the flow/discharge rate from this system? (Calculate by measuring the amount of liters per second),535151028,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
What is the flow/discharge rate from this system? (Calculate by measuring the amount of liters per second)",535151028,100.0,high,identity,3018
535151018,Water System Information & Water Quality Test,How long does the furthest house take to reach water system? (in minutes),536671018,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
How long does the furthest house take to reach water system? (in minutes)",536671018,100.0,high,identity,3019
535151018,Water System Information & Water Quality Test,Is the water from this water system treated?,535151029,1789351200000,Water System Information & Water Quality Test,"Water System Information & Water Quality Test |
Is the water from this water system treated?",535151029,100.0,high,identity,3020
