flow_datapoint_id,flow_form_id,flow_question_id,flow_value,mis_value
7690921,1520924,1530921,Western|Ba|Tavua,8
6770920,1520924,1530921,Northern|Macuata|Namuka,
8750920,1520924,1530921,Northern|Macuata|Namuka,
1860920,1520924,1530921,Northern|Bua|Lekutu,
6780932,1520924,1530921,Northern|Cakaudrove|Wailevu,21
1870921,1520924,1530921,Northern|Cakaudrove|Wairiki,
5880922,1520924,1530921,Western|Ba|Qaliyalatina,
5860923,1520924,1530921,Western|Nadroga|Tuva,
7740925,1520924,1530921,Western|Nadroga,56
7760923,1520924,1530921,Western|Ba|Magodro,4
1880940,1520924,1530921,Western|Ba|Vaturu,
4640936,1520924,1530921,Western|Nadroga|Koroinasau,47
5870929,1520924,1530921,Central|Serua|Serua,83
2830941,1520924,1530921,Western|Nadroga|Komave,
4860920,1520924,1530921,Central|Namosi|Veivatuloa,72
13150920,1520924,1530921,Central|Naitasiri|Matailobau,68
960930,1520924,1530921,Central|Naitasiri|Nagonenicolo,
15140925,1520924,1530921,Northern|Cakaudrove|Wairiki,
4870923,1520924,1530921,Northern|Cakaudrove|Vaturova,20
13220920,1520924,1530921,Central|Naitasiri|Viria,
14180927,1520924,1530921,Central|Tailevu|Vugalei,
26590920,1520924,1530921,Western|Nadroga|Koroinasau,47
25640933,1520924,1530921,Western|Nadroga|Tuva,
25640956,1520924,1530921,Central|Tailevu|Vugalei,
22630923,1520924,1530921,Central|Tailevu|Vugalei,
21670931,1520924,1530921,Western|Nadroga|Korolevuiwai,47
21620964,1520924,1530921,Western|Nadroga|Komave,
27500976,1520924,1530921,Central|Serua|Serua,83
23700953,1520924,1530921,Central|Serua|Serua,83
28420982,1520924,1530921,Central|Serua|Serua,83
28420984,1520924,1530921,Central|Tailevu|Dawasamu,
21680954,1520924,1530921,Western|Ra|Saivou,78
25630991,1520924,1530921,Western|Ra|Tokaimalo,
28460976,1520924,1530921,Western|Ra|Tokaimalo,
21680977,1520924,1530921,Central|Tailevu|Nayavu,
25620999,1520924,1530921,Western|Ra|Bureivanua,
23651005,1520924,1530921,Central|Tailevu|Nasautoka,
32120962,1520924,1530921,Western|Ra|Saivou,78
31160958,1520924,1530921,Western|Ra|Saivou,78
36000940,1520924,1530921,Western|Ra|Nakorotubu,75
31140978,1520924,1530921,Western|Ra|Bureivanua,
59030920,1520924,1530921,Northern|Macuata|Mali,
33500920,1520924,1530921,Northern|Macuata|Namuka,
55210922,1520924,1530921,Northern|Macuata|Namuka,
36500931,1520924,1530921,Central|Naitasiri|Viria,
41330944,1520924,1530921,Central|Naitasiri|Viria,
36590920,1520924,1530921,Northern|Macuata|Macuata,
43470920,1520924,1530921,Northern|Bua|Bua,
236660922,1520924,1530921,Central|Naitasiri|Viria,
250760934,1520924,1530921,Central|Tailevu|Namena,
262970927,1520924,1530921,Western|Nadroga|Nokonoko,40
265230921,1520924,1530921,Western|Ra|Nalaba,
243240996,1520924,1530921,Western|Ra|Nakorotubu,75
263760923,1520924,1530921,Central|Naitasiri|Nawaidi,
268500922,1520924,1530921,Central|Naitasiri|Viria,
242970925,1520924,1530921,Western|Ra|Tokaimalo,
256870924,1520924,1530921,Northern|Bua|Dama,
244960929,1520924,1530921,Western|Ra|Tokaimalo,
247020926,1520924,1530921,Western|Navosa|Naqalimare,
255040927,1520924,1530921,Central|Namosi|Veivatuloa,72
